comment,label,comment_clean,has_math_alnum,money_symbol_count,fire_symbol_count,special_char_ratio,number_ratio,stylized_char_ratio,char_count,word_count,avg_word_length,is_very_short
aamiin ya rabb,0,aamiin ya rabb,False,0,0,0.0,0.0,0.0,14,3,4.666666666666667,False
terima kasih mengajak jalan2 virtual raja ampat maasya allah banget 😍,0,terima kasih mengajak jalan2 virtual raja ampat maasya allah banget 😍,False,0,0,0.014492753623188406,0.014492753623188406,0.0,69,11,6.2727272727272725,False
bener prabu,0,bener prabu,False,0,0,0.0,0.0,0.0,11,2,5.5,False
tonton video ya hehe,0,tonton video ya hehe,False,0,0,0.0,0.0,0.0,20,4,5.0,False
coach nova plis suruh pda bljr sepak penalti asli biar gk bapuk2 😢,0,coach nova plis suruh pda bljr sepak penalti asli biar gk bapuk2 😢,False,0,0,0.015151515151515152,0.015151515151515152,0.0,66,13,5.076923076923077,False
keluarga sakinah mawadah warahmah _lope_lope,0,keluarga sakinah mawadah warahmah _lope_lope,False,0,0,0.045454545454545456,0.0,0.0,44,5,8.8,False
enam 😊,0,enam 😊,False,0,0,0.16666666666666666,0.0,0.0,6,2,3.0,False
lo liat eden lake the raid lunas ekspektasi lo kecewa wkwk,0,lo liat eden lake the raid lunas ekspektasi lo kecewa wkwk,False,0,0,0.0,0.0,0.0,58,11,5.2727272727272725,False
menarik bgt obrolannya ❤,0,menarik bgt obrolannya ❤,False,0,0,0.041666666666666664,0.0,0.0,24,4,6.0,False
kuliah stand up comedy ✅ ✅ 👍🤣,0,kuliah stand up comedy ✅ ✅ 👍🤣,False,0,0,0.13793103448275862,0.0,0.0,29,7,4.142857142857143,False
feast,0,feast,False,0,0,0.0,0.0,0.0,5,1,5.0,False
ah bang lu bilang realita tp menyandarkan realita persepsi orang jokowi emang proletar lantas proletar dukungan borjuis survive berkuasa,0,ah bang lu bilang realita tp menyandarkan realita persepsi orang jokowi emang proletar lantas proletar dukungan borjuis survive berkuasa,False,0,0,0.0,0.0,0.0,136,19,7.157894736842105,False
hl,0,hl,False,0,0,0.0,0.0,0.0,2,1,2.0,True
penasaran besok sabtu kau menontonnya biar lega,0,penasaran besok sabtu kau menontonnya biar lega,False,0,0,0.0,0.0,0.0,47,7,6.714285714285714,False
hadir 😅,0,hadir 😅,False,0,0,0.14285714285714285,0.0,0.0,7,2,3.5,False
packaging sahabat nya bg,0,packaging sahabat nya bg,False,0,0,0.0,0.0,0.0,24,4,6.0,False
serang cewe pemuja gojo tau lu bang 😅😅😅😅,0,serang cewe pemuja gojo tau lu bang 😅😅,False,0,0,0.1,0.0,0.0,40,8,5.0,False
561m3s mas anies kalah org gasuka gaya kampanye manfaatin identitas mayoritas kalah power gercepnya buzzer prabowo gibran menguasai platform tiktok kunci utama kesuksesan ditahun gen z pemilih pemula labil gatau,0,561m3s mas anies kalah org gasuka gaya kampanye manfaatin identitas mayoritas kalah power gercepnya buzzer prabowo gibran menguasai platform tiktok kunci utama kesuksesan ditahun gen z pemilih pemula labil gatau,False,0,0,0.0,0.018957345971563982,0.0,211,30,7.033333333333333,False
bg matinya belah kaya kiko,0,bg matinya belah kaya kiko,False,0,0,0.0,0.0,0.0,26,5,5.2,False
dinosaurus hati,0,dinosaurus hati,False,0,0,0.0,0.0,0.0,15,2,7.5,False
waw gg bg,0,waw gg bg,False,0,0,0.0,0.0,0.0,9,3,3.0,False
adlynnizharelrafip9874 pas beres kemelut pas sinyal jalan ky polisi pas bahaya udah ga,0,adlynnizharelrafip9874 pas beres kemelut pas sinyal jalan ky polisi pas bahaya udah ga,False,0,0,0.0,0.046511627906976744,0.0,86,13,6.615384615384615,False
bang es kiko nya,0,bang es kiko nya,False,0,0,0.0,0.0,0.0,16,4,4.0,False
code refferal nanofest woozii234,0,code refferal nanofest woozii234,False,0,0,0.0,0.09375,0.0,32,4,8.0,False
kek film spongebob pas sandy selamatkan spongebob,0,kek film spongebob pas sandy selamatkan spongebob,False,0,0,0.0,0.0,0.0,49,7,7.0,False
nge tag si speed g ya,0,nge tag si speed g ya,False,0,0,0.0,0.0,0.0,21,6,3.5,False
t,0,t,False,0,0,0.0,0.0,0.0,1,1,1.0,True
𝐃 𝐎 𝙍 𝘈 𝟽 7 emang gachor parah,1,dora77emanggachorparah,True,0,0,0.0,0.06666666666666667,0.16666666666666666,30,9,3.3333333333333335,False
kali sependapat ferry irwandi argumennya melemah tekanan,0,kali sependapat ferry irwandi argumennya melemah tekanan,False,0,0,0.0,0.0,0.0,56,7,8.0,False
peak intro 💥💥💥,0,peak intro 💥💥,False,0,3,0.21428571428571427,0.0,0.0,14,3,4.666666666666667,False
kcebonk69 makan menonton realita,0,kcebonk69 makan menonton realita,False,0,0,0.0,0.0625,0.0,32,4,8.0,False
2 😁😁,0,2 😁😁,False,0,0,0.5,0.25,0.0,4,2,2.0,False
professor money heist versi indoo,0,professor money heist versi indoo,False,0,0,0.0,0.0,0.0,33,5,6.6,False
main d 𝐸 𝐖 𝐀 d 𝑂 𝑅 a bikin hariku menyenangkan terima kasih 🍞,1,maindewadorabikinharikumenyenangkanterimakasih🍞,True,0,0,0.01639344262295082,0.0,0.08196721311475409,61,15,4.066666666666666,False
kiko termahal makanan mahal banget cumak es kiko termahal sih gw beli aja seribu 10 juta 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,kiko termahal makanan mahal banget cumak es kiko termahal sih gw beli aja seribu 10 juta 😂😂,False,0,0,0.19090909090909092,0.01818181818181818,0.0,110,17,6.470588235294118,False
iya bang ngeri banget bang ngapain bang gw percaya kebohongan bang bohong is bohong bang btw bang gw ga baca komentar lebar mucho texto lu bang sampah bang,0,iya bang ngeri banget bang ngapain bang gw percaya kebohongan bang bohong is bohong bang btw bang gw ga baca komentar lebar mucho texto lu bang sampah bang,False,0,0,0.0,0.0,0.0,155,28,5.535714285714286,False
ugm bilang asli dosen pembimbing yg hadirkan jokowi yg media bpk kasmujo galak mencuat kedatangan jokowi rumah beliau beliau membantah dosen pembimbing skripsi jokowi yg rakyat sepelekan mantan napi koruptor pembunuh pki mengelabui pemimpin negeri berterima kasih penggugat pemerintah kpu evaluasi sistem yg,0,ugm bilang asli dosen pembimbing yg hadirkan jokowi yg media bpk kasmujo galak mencuat kedatangan jokowi rumah beliau beliau membantah dosen pembimbing skripsi jokowi yg rakyat sepelekan mantan napi koruptor pembunuh pki mengelabui pemimpin negeri berterima kasih penggugat pemerintah kpu evaluasi sistem yg,False,0,0,0.0,0.0,0.0,307,43,7.1395348837209305,False
host nya nich cogan yg parodikan sastra sillalahi 😂😂😂😂,0,host nya nich cogan yg parodikan sastra sillalahi 😂😂,False,0,0,0.07407407407407407,0.0,0.0,54,9,6.0,False
defrikrisyudiantoro7094 amin 🤲🏻,0,defrikrisyudiantoro7094 amin 🤲🏻,False,0,0,0.06451612903225806,0.12903225806451613,0.0,31,3,10.333333333333334,False
keren banget bang salam,0,keren banget bang salam,False,0,0,0.0,0.0,0.0,23,4,5.75,False
orang ya didukunglah pengungkapan ijazah isunya didukung orang dituduh dimainkan terus2an gak ngeh 13 orang wafat kelalaian aparat ruu problematik lolos mega korupsi senyap 10 dimainin kayak gini dikasih umpan celah biar fokus ya selamat berjuang anggap isu menganggu beliau kayak isu jetptibadi ikn bansos ciptaker tkdn mk menghindar bermain isu kepala dingin teman,0,orang ya didukunglah pengungkapan ijazah isunya didukung orang dituduh dimainkan terus2an gak ngeh 13 orang wafat kelalaian aparat ruu problematik lolos mega korupsi senyap 10 dimainin kayak gini dikasih umpan celah biar fokus ya selamat berjuang anggap isu menganggu beliau kayak isu jetptibadi ikn bansos ciptaker tkdn mk menghindar bermain isu kepala dingin teman,False,0,0,0.0,0.01366120218579235,0.0,366,54,6.777777777777778,False
bang coba nonton donghua buliang ren,0,bang coba nonton donghua buliang ren,False,0,0,0.0,0.0,0.0,36,6,6.0,False
guru dosen dirimu fer gak iq 78 deh,0,guru dosen dirimu fer gak iq 78 deh,False,0,0,0.0,0.05714285714285714,0.0,35,8,4.375,False
225 langsung 𝐒𝐆𝐈𝟖𝟖 bang 😹😹,1,225 langsung sgi88 bang 😹😹,True,0,0,0.07692307692307693,0.19230769230769232,0.19230769230769232,26,5,5.2,False
salam pelatih kecepatan taktik tingkatkan,0,salam pelatih kecepatan taktik tingkatkan,False,0,0,0.0,0.0,0.0,41,5,8.2,False
film konyol maksa ketinggalan jaman mengeksploitasi kebencian rasial kasih mimpi kosong kaum anti china niat kagak sinis dikasih gratis gua kagak nonton,0,film konyol maksa ketinggalan jaman mengeksploitasi kebencian rasial kasih mimpi kosong kaum anti china niat kagak sinis dikasih gratis gua kagak nonton,False,0,0,0.0,0.0,0.0,152,22,6.909090909090909,False
trip hbs duit brp kang arsal hehe,0,trip hbs duit brp kang arsal hehe,False,0,0,0.0,0.0,0.0,33,7,4.714285714285714,False
lawak dek,0,lawak dek,False,0,0,0.0,0.0,0.0,9,2,4.5,False
sok,0,sok,False,0,0,0.0,0.0,0.0,3,1,3.0,True
